time,open,high,low,close,volume,ema,rsi,macd,macd_signal,atr,bb_mid,bb_upper,bb_lower
2026-05-05T09:40:00,118961000.0,118999000.0,118934000.0,118998000.0,6.09841984,118758401.5074664,74.11003236245955,35128.76809857786,-11931.808398972385,126285.71428571429,118677050.0,118974963.78123987,118379136.21876013
2026-05-05T09:45:00,118998000.0,118998000.0,118941000.0,118955000.0,4.13615418,118777125.17342198,75.41163556531285,45857.2323282361,-374.0002535306885,120928.57142857143,118692500.0,119014694.12259007,118370305.87740993
2026-05-05T09:50:00,118954000.0,119001000.0,118941000.0,118962000.0,7.89595544,118794732.29976274,79.49599083619702,54298.53926226497,10560.507649628442,118000.0,118709750.0,119051285.77295876,118368214.22704124
2026-05-05T09:55:00,119000000.0,119001000.0,118962000.0,118999000.0,3.40447948,118814186.366452,78.51140456182473,63244.87900529802,21097.38192076236,113142.85714285714,118730500.0,119089830.66431324,118371169.33568676
2026-05-05T10:00:00,118999000.0,119000000.0,118994000.0,118995000.0,4.41522012,118831406.71250418,75.53475935828877,69214.29186373949,30720.763909357785,102571.42857142857,118751500.0,119121499.43100953,118381500.56899047
2026-05-05T10:05:00,118999000.0,119000000.0,118995000.0,119000000.0,3.93099956,118847463.21607521,75.46916890080429,73501.27581989765,39276.86629146576,91928.57142857143,118765600.0,119151380.63032874,118379819.36967126
2026-05-05T10:10:00,119000000.0,119050000.0,118999000.0,119050000.0,11.66098505,118866752.43359186,72.52252252252252,80011.00654543936,47423.69434226048,79357.14285714286,118790550.0,119182389.64228134,118398710.35771866
2026-05-05T10:15:00,119050000.0,119127000.0,119037000.0,119100000.0,13.30650627,118888966.48753548,78.03806734992679,88188.0205720663,55576.55958822165,77857.14285714286,118820950.0,119209591.6154546,118432308.3845454
2026-05-05T10:20:00,119100000.0,119110000.0,119076000.0,119110000.0,10.39362215,118910017.29824638,79.1545189504373,94387.24215337634,63338.696101252586,71642.85714285714,118854100.0,119220931.03811744,118487268.96188256
2026-05-05T10:25:00,119110000.0,119149000.0,119110000.0,119149000.0,5.85113032,118932777.55555625,79.00146842878121,101279.65516261756,70926.88791352558,69500.0,118885350.0,119240063.39060387,118530636.60939613
2026-05-05T10:30:00,119148000.0,119162000.0,119067000.0,119160000.0,10.51947177,118954417.78836042,89.55954323001632,106403.00261813402,78022.11085444728,67785.71428571429,118912700.0,119263323.56482492,118562076.43517508
2026-05-05T10:35:00,119160000.0,119255000.0,119154000.0,119254000.0,8.08043976,118982949.42756419,93.18840579710145,116703.02694803476,85758.29407316478,70500.0,118944400.0,119298225.64841132,118590574.35158868
2026-05-05T10:40:00,119255000.0,119347000.0,119254000.0,119311000.0,10.01759813,119014192.33922476,90.084388185654,127989.90610168874,94204.61647886958,57428.57142857143,118972450.0,119349567.30689257,118595332.69310743
2026-05-05T10:45:00,119293000.0,119400000.0,119275000.0,119394000.0,8.54568084,119050364.49739382,91.08159392789373,141995.41078217328,103762.77533953032,61428.57142857143,119006300.0,119407630.99608809,118604969.00391191
2026-05-05T10:50:00,119394000.0,119450000.0,119393000.0,119418000.0,13.65069652,119085377.40240392,90.85603112840467,153264.73312975466,113663.1668975752,60857.142857142855,119041700.0,119457621.60192442,118625778.39807558
2026-05-05T10:55:00,119404000.0,119449000.0,119403000.0,119410000.0,5.86319732,119116293.84027022,97.49478079331942,159709.19100174308,122872.37171840879,60071.42857142857,119074500.0,119498283.21170892,118650716.78829108
2026-05-05T11:00:00,119410000.0,119480000.0,119394000.0,119480000.0,11.37286917,119150932.52214924,97.7859778597786,168522.26550540328,132002.3504758077,61928.57142857143,119114750.0,119531628.56366347,118697871.43633653
2026-05-05T11:05:00,119480000.0,119500000.0,119480000.0,119499000.0,9.31380312,119184081.80575407,97.70992366412214,175022.28381447494,140606.33714354114,60571.42857142857,119156800.0,119548598.87428978,118765001.12571022
2026-05-05T11:10:00,119499000.0,119500000.0,119442000.0,119450000.0,10.02056175,119209407.3480632,89.98242530755712,174211.50290204585,147327.3702952421,64285.71428571428,119182750.0,119580286.55906028,118785213.44093972
2026-05-05T11:15:00,119449000.0,119454000.0,119442000.0,119454000.0,7.12045199,119232701.8863429,89.96478873239437,171910.04773814976,152243.90578382363,64785.71428571428,119207400.0,119608167.36919382,118806632.63080618
2026-05-05T11:20:00,119446000.0,119453000.0,119408000.0,119422000.0,6.53256563,119250730.27811976,83.81818181818181,165595.11793465912,154914.14821399073,64428.57142857143,119228600.0,119627581.54554342,118829618.45445658
2026-05-05T11:25:00,119422000.0,119471000.0,119420000.0,119467000.0,4.66546346,119271327.3944893,83.6697247706422,162350.1430979371,156401.34719078,61642.857142857145,119254200.0,119644882.31811053,118863517.68188947
2026-05-05T11:30:00,119468000.0,119476000.0,119464000.0,119468000.0,5.22913306,119290058.11882366,83.3955223880597,158037.41189424694,156728.5601314734,60071.42857142857,119279500.0,119655779.01182081,118903220.98817919
2026-05-05T11:35:00,119467000.0,119670000.0,119464000.0,119670000.0,12.48010431,119326243.05988806,87.26752503576537,168971.45540252328,159177.1391856834,72000.0,119313050.0,119703415.80685033,118922684.19314967
2026-05-05T11:40:00,119660000.0,119771000.0,119640000.0,119771000.0,15.47083176,119368600.86370826,88.71989860583017,183669.3931323439,164075.5899750155,74571.42857142857,119351850.0,119762826.89780124,118940873.10219876
2026-05-05T11:45:00,119771000.0,119850000.0,119574000.0,119574000.0,24.14343974,119388162.68621223,67.9372197309417,177376.67319837213,166735.80661968683,87071.42857142857,119380550.0,119767539.1743352,118993560.8256648
2026-05-05T11:50:00,119572000.0,119600000.0,119544000.0,119589000.0,7.32430216,119407290.0494301,66.35294117647058,171621.67412532866,167712.98012081522,84428.57142857143,119407500.0,119771982.32936737,119043017.67063263
2026-05-05T11:55:00,119589000.0,119590000.0,119514000.0,119531000.0,7.28918775,119419071.94948438,58.303030303030305,160530.1885367632,166276.4218040048,80928.57142857143,119429050.0,119766979.59403746,119091120.40596254
2026-05-05T12:00:00,119549000.0,119591000.0,119478000.0,119506000.0,10.84967899,119427350.81143825,55.32687651331719,148016.57232306898,162624.45190781765,84928.57142857143,119448850.0,119752761.53491212,119144938.46508788
2026-05-05T12:05:00,119506000.0,119506000.0,119478000.0,119498000.0,2.92423387,119434079.305587,55.32687651331719,135887.4818727672,157277.05790080756,83642.85714285714,119466300.0,119735855.65776215,119196744.34223785
2026-05-05T12:10:00,119498000.0,119745000.0,119498000.0,119740000.0,9.37724065,119463214.6098168,63.02605210420842,144140.90124222636,154649.82656909132,95142.85714285714,119495300.0,119750522.58603239,119240077.41396761
2026-05-05T12:15:00,119740000.0,119744000.0,119680000.0,119742000.0,6.86016393,119489765.59935807,62.38532110091743,149124.16825541854,153544.69490635677,98285.71428571429,119519700.0,119771069.38640387,119268330.61359613
2026-05-05T12:20:00,119739000.0,119880000.0,119739000.0,119878000.0,9.49410247,119526740.3041811,70.0374531835206,162178.01941098273,155271.359807282,104214.28571428571,119548050.0,119826725.41957211,119269374.58042789
2026-05-05T12:25:00,119878000.0,119899000.0,119817000.0,119866000.0,11.71400505,119559050.75140195,69.14498141263941,169599.94815781713,158137.07747738902,109214.28571428571,119571650.0,119874307.19708505,119268992.80291495
2026-05-05T12:30:00,119889000.0,119952000.0,119866000.0,119946000.0,14.80880058,119595903.06079224,73.30960854092527,179863.85303743184,162482.4325893976,112071.42857142857,119598050.0,119934501.12259397,119261598.87740603
2026-05-05T12:35:00,119946000.0,120000000.0,119900000.0,119926000.0,31.3308616,119627340.8645263,70.88262056414922,184260.20184013247,166837.98643954456,115571.42857142857,119623850.0,119978242.74971794,119269457.25028206
2026-05-05T12:40:00,119919000.0,120000000.0,119900000.0,119985000.0,14.3671016,119661403.63933331,72.34226447709594,190311.35600930452,171532.66035349658,121857.14285714286,119649100.0,120031215.3862658,119266984.6137342
2026-05-05T12:45:00,119984000.0,120000000.0,119880000.0,119935000.0,8.9527768,119687460.43558729,63.18407960199005,188894.89439244568,175005.1071612864,115714.28571428571,119670900.0,120066470.68700936,119275329.31299064
2026-05-05T12:50:00,119935000.0,119950000.0,119912000.0,119945000.0,3.9610044,119711988.0131504,59.51859956236324,186430.20344601572,177290.12641823228,109071.42857142857,119695650.0,120094950.58589332,119296349.41410668
2026-05-05T12:55:00,119945000.0,119950000.0,119900000.0,119947000.0,5.09969358,119734370.10713607,75.93880389429764,182534.1612122357,178338.93337703298,92928.57142857143,119720300.0,120117652.87247379,119322947.12752621
2026-05-05T13:00:00,119947000.0,120000000.0,119900000.0,119988000.0,11.50411717,119758525.33502787,76.7785234899329,180672.20035997033,178805.58677362045,96071.42857142857,119748600.0,120137021.04122095,119360178.95877905
2026-05-05T13:05:00,119988000.0,120000000.0,119912000.0,119926000.0,10.73566578,119774475.30312045,76.36849132176235,172208.5877223611,177486.1869633686,96928.57142857143,119771550.0,120143818.98877023,119399281.01122977
2026-05-05T13:10:00,119926000.0,119931000.0,119833000.0,119838000.0,9.82583115,119780525.27425183,70.44334975369458,156595.1181319356,173307.973197082,95857.14285714286,119790050.0,120134541.37182689,119445558.62817311
2026-05-05T13:15:00,119838000.0,119910000.0,119830000.0,119908000.0,6.50984739,119792665.7243231,73.4553775743707,148161.82864505053,168278.7442866757,99571.42857142857,119801950.0,120145421.73330414,119458478.26669586
2026-05-05T13:20:00,119910000.0,119910000.0,119850000.0,119886000.0,3.13094536,119801554.70295899,61.162079510703364,138111.11091436446,162245.21761221346,86214.28571428571,119807700.0,120152836.49473797,119462563.50526203
2026-05-05T13:25:00,119886000.0,119888000.0,119836000.0,119842000.0,6.17350167,119805406.63601051,57.183908045977006,125152.72966195643,154826.72002216204,85357.14285714286,119821100.0,120148380.9190894,119493819.0809106
2026-05-05T13:30:00,119842000.0,119842000.0,119684000.0,119743000.0,11.00197069,119799463.14686665,39.757207890743544,105676.4739267528,144996.6708030802,86571.42857142857,119828800.0,120139936.86276047,119517663.13723953
2026-05-05T13:35:00,119743000.0,119765000.0,119670000.0,119764000.0,9.23341915,119796085.70430793,42.36526946107785,90888.22257947922,134174.98115836,87500.0,119840450.0,120120536.05820356,119560363.94179644
2026-05-05T13:40:00,119765000.0,119800000.0,119764000.0,119770000.0,4.59904156,119793601.35151671,35.18518518518519,78744.8550272882,123088.95593214565,83928.57142857143,119853650.0,120088619.44930197,119618680.55069803
2026-05-05T13:45:00,119770000.0,119849000.0,119689000.0,119823000.0,8.72272178,119796401.22280084,41.78628389154705,72561.36358296871,112983.43746231026,88214.28571428571,119869900.0,120036236.24790896,119703563.75209104
2026-05-05T13:50:00,119843000.0,119888000.0,119841000.0,119887000.0,3.41655361,119805029.67777218,42.24683544303797,71995.25075812638,104785.8001214735,85714.28571428571,119877250.0,120032006.0049001,119722493.9950999
2026-05-05T13:55:00,119887000.0,119888000.0,119879000.0,119880000.0,5.94971707,119812169.70846054,45.331069609507644,70172.85181263089,97863.21045970499,77785.71428571429,119884150.0,120025215.53161752,119743084.46838248
2026-05-05T14:00:00,119880000.0,119880000.0,119808000.0,119879000.0,2.67725693,119818534.49813096,44.310344827586206,67865.58367229998,91863.68510222399,80214.28571428571,119884200.0,120025257.06198858,119743142.93801142
2026-05-05T14:05:00,119878000.0,119888000.0,119871000.0,119888000.0,3.36198638,119825150.26021373,44.97444633730835,66002.44671137631,86691.43742405446,77857.14285714286,119885300.0,120026102.36242041,119744497.63757959
2026-05-05T14:10:00,119888000.0,120000000.0,119888000.0,119940000.0,11.70710861,119836088.33066958,45.986622073578594,67938.70753446221,82940.89144613601,78714.28571428571,119885000.0,120025282.4219022,119744717.5780978
2026-05-05T14:15:00,119942000.0,119987000.0,119941000.0,119943000.0,3.50466401,119846270.39441533,51.57699443413729,68920.80695384741,80136.8745476783,75785.71428571429,119885850.0,120027378.90722024,119744321.09277976
2026-05-05T14:20:00,119943000.0,120156000.0,119942000.0,120156000.0,27.02237322,119875768.45209005,73.94578313253012,85896.2887558937,81288.75738932138,84071.42857142857,119894400.0,120076106.99375357,119712693.00624643
2026-05-05T14:25:00,120132000.0,120237000.0,120120000.0,120127000.0,18.82592083,119899695.26617672,67.57624398073835,95903.9022617042,84211.78636379796,86714.28571428571,119904000.0,120112979.47519468,119695020.52480532
2026-05-05T14:30:00,120139000.0,120238000.0,120126000.0,120236000.0,7.07049267,119931724.28844559,74.64788732394366,111346.85982595384,89638.80105622915,90428.57142857143,119918550.0,120174737.82172462,119662362.17827538
2026-05-05T14:35:00,120239000.0,120490000.0,120237000.0,120429000.0,26.97223182,119979083.8800222,84.16763678696158,137573.14441531897,99225.66972804711,104857.14285714286,119942650.0,120285973.24802086,119599326.75197914
2026-05-05T14:40:00,120450000.0,120489000.0,120247000.0,120263000.0,18.28745189,120006123.51049627,78.07775377969762,143310.85291790962,108042.70636601963,110857.14285714286,119956400.0,120328215.68722038,119584584.31277962
2026-05-05T14:45:00,120248000.0,120257000.0,120051000.0,120055000.0,11.05202929,120010778.41425854,63.072776280323446,129580.44387672842,112350.25386816138,119214.28571428571,119962850.0,120336914.03898686,119588785.96101314
